School Type,School No,School Name,Dropped/Retained,Academic Year,SSF Date,Offering,School Revenue Type,SSF Number,Status,Total Order Value (Exclusive GST),Total Order Value (Inclusive GST),ASSET Revenue,ASSETStudents,ASSET rate,CARES Revenue,CARESStudents,CARES rate,Mindspark Revenue,MindsparkStudents,Mindspark rate,Teacher Training Revenue,Payment Mode,No Of Installments,Full Payment Date,First Installment Date,First Installment Amount,Second Installment Date,Second Installment Amount,Third Installment Date,Third Installment Amount,Fourth Installment Date,Fourth Installment Amount,TDS Amount,First payment Date,Latest payment Date,To be invoiced till date,Amount Received,Due till date as per payment schedule,Total Discount %,Standard Discount %,Pre Payment Discount %,Volume Discount %,Bundle Discount %,Loyalty Discount %,ASSETRound,Ei ASSET Mode,CAREStestpack,Ei CARES Version,Ei CARES Mode Of Printing,Ei CARES Mode,Ei Mindspark Mode,Board,City,State,Division,Zone,Vertical,Program Start Date,Program End Date,Order Type,ID,Zoho CRM Account ID,Deal ID,Created Date,Added User,Modified User,SSF Creator Email,SSF Creator,CRM Account Owner,CRM Acad Consultant,Logistic Approved Date,SSF Signing Perosn Name,SSF Signing Perosn Designation,SSF Signing Perosn Mail ID,SSF Signing Perosn Phone No,School CRM Email,Principal Name,Principal Email,Principal Phone No,Coordinator Name,Coordinator Email,Coordinator Phone No,School Fees,Billing Address Line 1,Billing Address Line 2,Billing Postal Code,Shipping Address Line 1,Shipping City,Shipping State,Shipping Postal Code,TAN NO,CRM Billing Street,CRM Shipping Street
Retention School,356995,The Rajkumar College,,2024,2024-08-07 00:00:00,Ei Mindspark,Regular,IN-2022002409,Approved By Logistic Team,165269,195017,0,0,,0,0,,165269,75,2204,0,Full Payment,,2024-03-31 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-11-08 00:00:00,2024-11-08 00:00:00,195017,152312,42705,0.2975,0.1475,0.1,,,0.05,0,,0,MCQ,,,Online,CBSE,Rajkot,Gujarat,West,Gujarat,National Sales,2024-07-01 00:00:00,2025-04-30 00:00:00,Regular School: Active school with student count and rate per student defined,22028000023993512,51788000002735298,zcrm_51788000272728001,2024-08-07 00:00:00,pooja.joshi_eiindia1,fagun.saraiya_eiindia1,pooja.joshi@ei.study,Pooja joshi,Unnati Sharma,,2024-08-09 17:59:41,Yash Saxena,Principal,principal@rkcrajkot.in,+919687656419,contact@rkcrajkot.com,Yash Saxena,principal@rkcrajkot.in,+919687656419,Yash Saxena,principal@rkcrajkot.in,+919687656419,0,"Dr. Radha Krishnan Marg, Opp. Sastri Maidan, Gavliwad,",,360001,"Dr. Radha Krishnan Marg, Opp. Sastri Maidan, Gavliwad,",Rajkot,GUJARAT,360001,RKTT00212C,"Dr. Radha Krishnan Marg, Opp. Sastri Maidan, Gavliwad,","Dr. Radha Krishnan Marg, Opp. Sastri Maidan, Gavliwad,"
Retention School,357852,Joyous Primary Secondary English School,Dropped,2024,2024-08-31 00:00:00,Ei ASSET,Regular,IN-2022002476,Approved By Logistic Team,124740,124740,124740,154,810,0,0,,0,0,,0,Full Payment,,2024-03-31 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-09-20 00:00:00,2024-09-20 00:00:00,124740,124740,0,0.5,0.35,0.1,,,0.05,Winter Round,OMR,0,MCQ,,,,State Board,Surat,Gujarat,West,Gujarat,National Sales,2024-08-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000024453220,51788000002735305,zcrm_51788000273563001,2024-08-31 00:00:00,pooja.joshi_eiindia1,fagun.saraiya_eiindia1,pooja.joshi@ei.study,Pooja joshi,Nikita Darvesh,,2024-09-09 16:05:39,Yogita ma'am,Other,Joyousenglishschool@gmail.com,+919879254578,Joyousenglishschool@gmail.com,,,,,,,0,"Behind Yash Plaza, Near Rajhans Point, Varachha Road",,395006,"Behind Yash Plaza, Near Rajhans Point, Varachha Road",Surat,Gujarat,395006,,"Behind Yash Plaza, Near Rajhans Point, Varachha Road","Behind Yash Plaza, Near Rajhans Point, Varachha Road"
New School,3582467,Rawdat Al-Quran Al-Kareem,,2024,2024-06-10 00:00:00,Ei ASSET,Regular,IN-2022002190,Approved By Logistic Team,147000,147000,147000,98,1500,0,0,,0,0,,0,Full Payment,,2024-06-25 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,14700,2024-07-30 00:00:00,2024-07-30 00:00:00,147000,132300,0,0,0,,,,,Summer Round,OMR,0,MCQ,,,,IGSCE,Mumbai,Maharashtra,West,Mumbai,National Sales,2024-07-01 00:00:00,2025-03-07 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022901164,51788000002796491,zcrm_51788000270468488,2024-06-10 00:00:00,manjeetsingh.ladhad,hakim.kanchwala_eiindia1,manjeetsingh.ladhad@ei.study,Manjeetsingh ladhad,Manjeetsingh Ladhad,Hetal Parmar,2024-06-11 16:20:13,Mr. Murtaza Madha,,murtazamadha@jameasaifiyah.edu,+919769022489,murtazamadha@jameasaifiyah.edu,,,,,,,264000,"95G/95K, Block No. 5/7, 1st & 2nd Floor, Bhulabai Desai Road,",,400026,"95G/95K, Block No. 5/7, 1st & 2nd Floor, Bhulabai Desai Road,",Mumbai,Maharashtra,400026,,"95G/95K, Block No. 5/7, 1st & 2nd Floor, Bhulabai Desai Road,","95G/95K, Block No. 5/7, 1st & 2nd Floor, Bhulabai Desai Road,"
1-year School,3591328,IEM Public School,,2024,"2023-12-19 00:00:00, 2024-03-29 00:00:00, 2024-05-28 00:00:00","Ei ASSET, Ei CARES, Ei Mindspark",Regular,"IN-2022001360, IN-2022001361, IN-2022001766, IN-2022002120",Approved By Logistic Team,1460749,1584718,318330,393,810,453703,412,1101,688716,407,"1271, 2000",0,Full Payment,,"2024-03-29 00:00:00, 2024-03-31 00:00:00",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,"0, 4118","2023-12-21 00:00:00, 2024-03-28 00:00:00, 2024-05-28 00:00:00","2024-03-28 00:00:00, 2024-05-28 00:00:00, 2025-04-21 00:00:00","257978, 318330, 453703, 554707","212175, 238861, 329293, 413624","106155, 124410, 141083, 14999","0.5, 0.6371, 0.6629, 0.7295999999999999","0.4, 0.5371, 0.5629, 0.6296",0.1,,,,"0, Summer Round",OMR,"0, 4",MCQ,Printing By EI,OMR,Online,CBSE,Kolkata,West Bengal,East,West Bengal,National Sales,"2024-04-01 00:00:00, 2024-04-08 00:00:00, 2024-06-03 00:00:00","2025-03-28 00:00:00, 2025-03-31 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000020337060, 22028000020337092, 22028000021820052, 22028000022689160",51788000002796681,"zcrm_51788000260972024, zcrm_51788000261244382, zcrm_51788000265401373, zcrm_51788000270044349","2023-12-19 00:00:00, 2024-03-29 00:00:00, 2024-05-28 00:00:00",mayukh.chowdhury_ei1,mitul.patel_ei1,mayukh.chowdhury@ei.study,Mayukh chowdhury,Mayukh Chowdhury,,"2023-12-19 15:16:16, 2023-12-19 15:16:25, 2024-03-29 11:54:26, 2024-05-28 15:09:54","Debashis Majumdar, Mr. Debashis Majumdar, Mr. Debasish Majumdar",School Owner,"debashish.m@iempublicschool.com, debashism@gmail.com","+919163194900, +919830747008",principal@iempublicschool.com,,,,Swati Datta,prncipal@iempublicschool.com,+919163194900,48000,"Ge-4/A, Sector - III",,700106,"Ge-4/A, Sector - III",Kolkata,West Bengal,700106,CALI01171C,"GE-4/A, Salt Lake Sector 3,Near to Tank No 12","GE-4/A, Salt Lake Sector 3,Near to Tank No 12"
Key Account,3592220,Diamond Jubilee Girls School,Dropped,2024,2024-10-22 00:00:00,Ei ASSET,Regular,IN-2022002535,Approved By Logistic Team,0,0,0,508,0,0,0,,0,0,,0,Full Payment,,2024-10-23 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,0,0,0,1,1,,,,,Winter Round,OMR,0,MCQ,,,,State Board,Mumbai,Maharashtra,West,Mumbai,National Sales,2024-09-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000025644032,51788000002796690,zcrm_51788000274553156,2024-10-22 00:00:00,maruf.shaikh1,maruf.shaikh1,maruf.shaikh@ei.study,Maruf shaikh,Manjeetsingh Ladhad,,2024-10-22 12:56:11,Chandrakala Mishra,Principal,vardah.roghay@akesi.org,+919892010246,vardah.roghay@akesi.org,Chandrakala Mishra,vardah.roghay@akesi.org,+919892010246,Ms. Taqdees Pathan,vardah.roghay@akesi.org,+919773178608,0,S.V.P Road Dongri,,400009,S.V.P Road Dongri,Mumbai,Maharashtra,400009,,S.V.P Road Dongri,S.V.P Road Dongri
Key Account,3593614,"Aga Khan School,Chitravad",Dropped,2024,2024-10-22 00:00:00,Ei ASSET,Regular,IN-2022002541,Approved By Logistic Team,0,0,0,158,0,0,0,,0,0,,0,Full Payment,,2024-10-23 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,0,0,0,1,1,,,,,Winter Round,OMR,0,MCQ,,,,State Board,Junagadh,Gujarat,West,Gujarat,National Sales,2024-09-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000025644244,51788000002796704,zcrm_51788000274553987,2024-10-22 00:00:00,maruf.shaikh1,maruf.shaikh1,maruf.shaikh@ei.study,Maruf shaikh,Manjeetsingh Ladhad,,2024-10-22 12:54:46,Abid Hussain,Principal,info@aksc2akesi.org,+917006151039,info@aksc2akesi.org,Abid Hussain,info@aksc2akesi.org,+917006151039,Virendra,info@aksc2akesi.org,+918140994068,0,"Aga Khan School, Chitravad Taluka - Talala District - Gir Somnath",,362150,"Aga Khan School, Chitravad Taluka - Talala District - Gir Somnath",Junagadh,Gujarat,362150,,"Aga Khan School, Chitravad Taluka - Talala District - Gir Somnath","Aga Khan School, Chitravad Taluka - Talala District - Gir Somnath"
Key Account,359413,The Galaxy School - Wadi,,2024,"2024-07-01 00:00:00, 2024-07-24 00:00:00","Ei ASSET, Ei Mindspark",Regular,"IN-2022002300, IN-2022002372",Approved By Logistic Team,1983239,2207771,735838,896,821,0,0,,1247401,775,1610,0,Full Payment,,2024-12-16 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,"0, 73583.79","2024-11-25 00:00:00, 2025-02-05 00:00:00","2025-01-09 00:00:00, 2025-02-05 00:00:00","1471933, 735838","1301271, 578912","170662, 83342","0.5931000000000001, 0.63","0.49310000000000004, 0.58",,0.05,,0.05,"0, Winter Round",OMR,0,MCQ,,,Online,CISCE,Rajkot,Gujarat,West,Gujarat,National Sales,2024-07-01 00:00:00,2025-06-30 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000023251176, 22028000023707312",51788000002735316,"zcrm_51788000271061190, zcrm_51788000271352178","2024-07-01 00:00:00, 2024-07-24 00:00:00",pooja.joshi_eiindia1,"fagun.saraiya_eiindia1, maruf.shaikh1",pooja.joshi@ei.study,Pooja joshi,Heena Kumar,Aarti Iyer,"2024-07-01 14:57:59, 2024-07-24 17:37:18",Mr. Gokul Paravoor,Other,gokul.paravoor@tges.org,+919909998141,info@tges.org,,,,,,,102000,"Jamnagar Highway, Gokulpur, At-Taraghadi, Taluka-Padadhari",,360110,"Jamnagar Highway, Gokulpur, At-Taraghadi, Taluka-Padadhari",Rajkot,Gujarat,360110,,"Jamnagar Highway, Gokulpur, At-Taraghadi, Taluka-Padadhari","Jamnagar Highway, Gokulpur, At-Taraghadi, Taluka-Padadhari"
Retention School,3594140,Meru International School,,2024,2024-03-15 00:00:00,"Ei ASSET, Ei Mindspark",Regular,"IN-2022001650, IN-2022001652",Approved By Logistic Team,1430656,1522923,918060,1391,660,0,0,,512596,417,1229,0,Installments,"2, 3",,2024-03-18 00:00:00,"302432, 459030","2024-07-15 00:00:00, 2024-10-15 00:00:00","151216, 459030","2000-01-01 00:00:00, 2024-10-15 00:00:00","0, 151216",2000-01-01 00:00:00,0,"18362, 9257",2024-04-16 00:00:00,"2024-10-19 00:00:00, 2025-06-13 00:00:00","604864, 918060","536861, 899698","0, 58746","0.56, 0.5971","0.56, 0.5971",,,,,"0, Winter Round",OMR,0,MCQ,,,Online,CBSE,Hyderabad,Telangana,South,AP/Telangana,National Sales,"2024-03-15 00:00:00, 2024-04-01 00:00:00","2025-03-14 00:00:00, 2025-03-31 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000021573368, 22028000021573452",51788000002796709,"zcrm_51788000266811406, zcrm_51788000266848138",2024-03-15 00:00:00,chaitanya.kolluri_ei,hakim.kanchwala_eiindia1,chaitanya.kolluri@ei.study,Chaitanya kolluri,Chaitanya Kolluri,,"2024-03-22 15:17:04, 2024-03-22 15:17:09",Mr. Butchibabu Inaganti,Accounts,accountsmanager@meruinternationalschool.com,+919121000408,info@meruinternationalschool.com,Mr. Satyaki Banerjee,principal@meruinternationalschool.com,+919818410003,Ms. Vandana Vatturi,vandana.vatturi@meruinternationalschool.com,+919676547111,0,"Sy. No. 97(P) & 98, Adjacent to My Home Jewel, Madeenaguda, Chanda Nagar",,500049,"Sy. No. 97(P) & 98, Adjacent to My Home Jewel, Madeenaguda, Chanda Nagar",Hyderabad,Telangana,500049,HYDM16423B,Chanda Nagar,"Sy. No. 97(P) & 98, Adjacent to My Home Jewel, Madeenaguda, Chanda Nagar"
Retention School,3605584,"SAI International Residential School, Cuttack",,2024,"2024-05-03 00:00:00, 2024-06-05 00:00:00","Ei ASSET, Ei Mindspark",Regular,"IN-2022001999, IN-2022002170",Approved By Logistic Team,409652,464570,104552,209,500,0,0,,305100,200,1526,0,"Full Payment, Installments",4,2024-07-01 00:00:00,"2000-01-01 00:00:00, 2024-05-04 00:00:00","0, 90005","2000-01-01 00:00:00, 2024-07-04 00:00:00","0, 90005","2000-01-01 00:00:00, 2024-10-04 00:00:00","0, 90005","2000-01-01 00:00:00, 2024-12-31 00:00:00","0, 90005","0, 34190",2025-12-30 00:00:00,2025-12-30 00:00:00,"104552, 360020","0, 307701","104552, 18129","0.6665000000000001, 0.7","0.6665000000000001, 0.7",,,,,"0, Summer Round",OMR,0,MCQ,,,Online,CBSE,Cuttack,Odisha,East,Odisha,National Sales,"2024-05-03 00:00:00, 2024-06-05 00:00:00","2025-03-31 00:00:00, 2025-04-30 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000022353264, 22028000022845032",51788000002796925,"zcrm_51788000269100081, zcrm_51788000270347412","2024-05-03 00:00:00, 2024-06-05 00:00:00",lopamudra.das_eiindia1,mitul.patel_ei1,lopamudra.das@ei.study,Lopamudra das,Lopamudra Das,,"2024-05-08 17:00:27, 2024-06-08 10:07:54",Mr. Dipak Somani,Admin,dipak@sai.edu.in,+918598097405,info@sirs.edu.in,Amitabh Agnihotri,headmaster@sirs.edu.in,+918114367701,Archana Pradhan,pradhan.archana1978@gmail.com,+917326024022,0,"SAI Vihar, 1400 Ramdaspur, Nuagaon, Cuttack-754008, Odisha, INDIA",,754008,"SAI Vihar, 1400 Ramdaspur, Nuagaon, Cuttack-754008, Odisha, INDIA",Cuttack,Odisha,754008,BBNS09089D,"SECUREWAYS LOGISTICS PRIVATE LIMITED (STUDENT GALLERY), Plot No : N / 33 & 34, Chandka Industrial Estate, Near OTV office, Bhubaneswar - 751024, Odisha","SAI International Residential School SAI Vihar, 1400, Ramdaspur, Nuagaon, Godisahi, Cuttack - 754008 (Odisha)"
New School,3626747,Sgs International School,,2024,2024-04-10 00:00:00,Ei ASSET,Regular,IN-2022001891,Approved By Logistic Team,114000,114000,114000,152,750,0,0,,0,0,,0,Full Payment,,2024-06-25 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-07-24 00:00:00,2025-03-10 00:00:00,114000,96750,17250,0.5,0.5,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,South 24 Paraganas,West Bengal,East,West Bengal,National Sales,2024-04-24 00:00:00,2025-03-28 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022024144,51788000002797341,zcrm_51788000268196490,2024-04-10 00:00:00,soumodeep.ghosh_ei,sourabh.mehta_eiindia,soumodeep.ghosh@ei.study,Soumodeep ghosh,Soumodeep Ghosh,,2024-05-27 11:11:17,Dewpha Mukherjee Patra,Principal,principal.infodesk@gmail.com,+917003032356,principal.infodesk@gmail.com,Dewpha Mukherjee Patra,principal.infodesk@gmail.com,+917003032356,Dewpha Mukherjee Patra,principal.infodesk@gmail.com,+917003032356,25095,"Baruipur Canning Rd., Panchanantala Nr Ramnagar Bazar Dist.-South 24Pgs",,743387,"Baruipur Canning Rd., Panchanantala Nr Ramnagar Bazar Dist.-South 24Pgs",South 24 Paraganas,West Bengal,743387,,"Baruipur Canning Rd., Panchanantala Nr Ramnagar Bazar Dist.-South 24Pgs","Baruipur Canning Rd., Panchanantala Nr Ramnagar Bazar Dist.-South 24Pgs"
1-year School,3634161,PICT Model School,,2024,2024-03-12 00:00:00,Ei CARES,Regular,IN-2022001617,Approved By Logistic Team,1067946,1067946,0,0,,1067946,356,3000,0,0,,0,Installments,4,,2024-03-15 00:00:00,266987,2024-06-01 00:00:00,266987,2024-10-01 00:00:00,266987,2024-12-31 00:00:00,266987,52937,2024-03-20 00:00:00,2025-03-07 00:00:00,1067948,880691,134320,0.5869,0.5869,,,,,0,,6,MCQ + Subjective,Printing By EI,OMR,,CBSE,Pune,Maharashtra,West,Rest of Maharashtra and Goa,National Sales,2024-03-27 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000021501560,51788000002797517,zcrm_51788000266616112,2024-03-12 00:00:00,vijay.tejpal_eiindia,hakim.kanchwala_eiindia1,vijay.tejpal@ei.study,Vijay tejpal,Nainesh Bhise,,2024-03-13 08:46:18,Dr. Pampa Chaudhuri,Other,director@pictmodelschool.edu.in,+919075094201,director@pictmodelschool.edu.in,,,,,,,97600,"Survey no 6&7/54B, Nr Balewadi Stadium,Mahalunge,Pune",,411045,"Survey no 6&7/54B, Nr Balewadi Stadium,Mahalunge,Pune",Pune,Maharashtra,411045,PNES00144E,"Survey no 6&7/54B, Nr Balewadi Stadium,Mahalunge,Pune","Survey no 6&7/54B, Nr Balewadi Stadium,Mahalunge,Pune"
Retention School,3639531,Vega School,,2024,2024-10-07 00:00:00,Ei ASSET,Regular,IN-2022002512,Approved By Logistic Team,86728,86728,86728,106,818,0,0,,0,0,,0,Full Payment,,2024-10-08 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-10-28 00:00:00,2024-10-28 00:00:00,86728,78056,8672,0.5089,0.5089,,,,,Winter Round,OMR,0,MCQ,,,,CBSE,Gurugram,Haryana,North,Delhi/Haryana,National Sales,2024-10-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000025294040,51788000002797672,zcrm_51788000275112033,2024-10-07 00:00:00,vaishali.yadav_ei,fagun.saraiya_eiindia1,vaishali.yadav@ei.study,Vaishali yadav,Vaishali Yadav,,2024-10-22 11:23:46,Ms. Sweta Kumari,Other,sweta.kumari@vega.edu.in,+919911954538,info@vega.edu.in,Ms. Komal Sood,info@vega.edu.in,+911242655200,Ms. Sweta Kumari,sweta.kumari@vega.edu.in,+919911954538,0,"Sohna Rd, near Eldeco Mansionz, Tatvam Villas, Dhani, Sector 48, Gurugram, Haryana 122018",,122018,"Sohna Rd, near Eldeco Mansionz, Tatvam Villas, Dhani, Sector 48, Gurugram, Haryana 122018",Gurugram,Haryana,122018,,"Sohna Rd, near Eldeco Mansionz, Tatvam Villas, Dhani, Sector 48, Gurugram, Haryana 122018","Sohna Rd, near Eldeco Mansionz, Tatvam Villas, Dhani, Sector 48, Gurugram, Haryana 122018"
Retention School,364480,"The Shri Ram School, Senior Aravali",,2024,"2024-04-03 00:00:00, 2024-11-28 00:00:00","Ei ASSET, Ei Mindspark",Regular,"IN-2022001821, IN-2022002635",Approved By Logistic Team,1105746,1188120,648114,712,910,0,0,,457632,180,2542,0,"Full Payment, Installments",2,2024-12-12 00:00:00,"2000-01-01 00:00:00, 2024-04-05 00:00:00","0, 270003","2000-01-01 00:00:00, 2024-07-15 00:00:00","0, 270003",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,"12962, 4525","2024-05-10 00:00:00, 2025-01-07 00:00:00","2024-08-28 00:00:00, 2025-01-07 00:00:00","540006, 648114","527904, 635152","0, 7577","0.16670000000000001, 0.5670000000000001","0.16670000000000001, 0.5670000000000001",,,,,"0, Winter Round",Online,0,MCQ,,,Online,CBSE,Gurugram,Haryana,North,Delhi/Haryana,National Sales,2024-04-01 00:00:00,"2025-03-31 00:00:00, 2025-04-12 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000021896932, 22028000026470576",51788000002735463,"zcrm_51788000267782193, zcrm_51788000278308163","2024-04-03 00:00:00, 2024-11-28 00:00:00","anshul.nagpal_ei, ravinder.kaur_ei",fagun.saraiya_eiindia1,"anshul.nagpal@ei.study, ravinder.kaur@ei.study","Anshul nagpal, Ravinder kaur",Vaishali Yadav,,"2024-04-04 10:38:39, 2024-11-28 17:10:09",Mr. Anupam Jain,Accounts,anupam.jain@tsrs.org,+919891369408,sudha.sahay@tsrs.org,"Mr. Anupam Jain, Ms. Sudha Sahay","anupam.jain@tsrs.org, sudha.sahay@tsrs.org",+919891369408,"Mr. Anupam Jain, Ms. Tanu Setia","anupam.jain@tsrs.org, tanu.setia@tsrs.org","+919873499147, +919891369408",0,"Hamilton Court Complex, Phase - IV, DLF City, ,Gurugram,Haryana - 122002",,122002,"Hamilton Court Complex, Phase - IV, DLF City, ,Gurugram,Haryana - 122002",Gurugram,Haryana,122002,DELS22354D,"Hamilton Court Complex, Phase - IV, DLF City, ,Gurugram,Haryana - 122002","Hamilton Court Complex, Phase - IV, DLF City, ,Gurugram,Haryana - 122002"
New School,365337,Maxfort School,Dropped,2024,2024-01-23 00:00:00,Ei Mindspark,Regular,IN-2022001420,Approved By Logistic Team,610200,720036,0,0,,0,0,,610200,200,3051,0,Installments,4,,2024-01-09 00:00:00,180009,2024-05-15 00:00:00,180009,2024-08-14 00:00:00,180009,2024-11-15 00:00:00,180009,0,2023-05-15 00:00:00,2024-01-09 00:00:00,720036,176400,543636,0.5,0.5,,,,,0,,0,MCQ,,,Online,CBSE,Delhi,Delhi,North,Delhi/Haryana,National Sales,2024-04-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000020769144,51788000002735472,zcrm_51788000263825520,2024-01-23 00:00:00,soumya.subudhi_ei,sourabh.mehta_eiindia,soumya.subudhi@ei.study,Soumya subudhi,Soumya Suman Subudhi,Vaishali Yadav,2024-02-03 17:13:40,Ms. Dipika sharma,Principal,maxfortschool.dwarka@gmail.com,+919315525487,maxfortschool.dwarka@gmail.com,Ms. Dipika sharma,maxfortschool.dwarka@gmail.com,+919315525487,,,,203000,"Plot 9, Sector-7, Main Road, Dwarka, ,Delhi,Delhi - 110075",,110075,"Plot 9, Sector-7, Main Road, Dwarka, ,Delhi,Delhi - 110075",Delhi,Delhi,110075,,"Plot 9, Sector-7, Main Road, Dwarka, ,Delhi,Delhi - 110075","Plot 9, Sector-7, Main Road, Dwarka, ,Delhi,Delhi - 110075"
New School,3654386,Delhi Public School Bangalore East,Dropped,2024,2024-11-26 00:00:00,Ei ASSET,Regular,IN-2022002623,Approved By Logistic Team,1020898,1020898,1020898,2042,500,0,0,,0,0,,0,Installments,2,,2024-11-26 00:00:00,306269,2024-12-30 00:00:00,714629,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,6125,2024-12-19 00:00:00,2025-03-15 00:00:00,1020898,1000489,14284,0.6667000000000001,0.6667000000000001,,,,,Winter Round,OMR,0,MCQ,,,,IGSCE,Bengaluru,Karnataka,South,Karnataka/Kerala,National Sales,2024-04-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000026438008,51788000002797922,zcrm_51788000266616602,2024-11-26 00:00:00,heena.kumar_ei,mitul.patel_ei1,heena.kumar@ei.study,Heena kumar,Heena Kumar,,2024-12-05 11:22:29,Mrs. Manila Carvalho,Principal,principal@east.dpsbangalore.edu.in,+919945338809,igcse@east.dpsbangalore.edu.in,Manila Carvalho,principal@east.dpsbangalore.edu.in,+919945338809,Suchismitha Cood,igcse@east.dpsbangalore.edu.in,+919008755224,10000,"Survey No.43/1B & 45, Sulikunte Village,Dommasandra Post",,562125,"Survey No.43/1B & 45, Sulikunte Village,Dommasandra Post",Bengaluru,KARNATAKA,562125,,"Survey No.43/1B & 45, Sulikunte Village,Dommasandra Post","Survey No.43/1B & 45, Sulikunte Village,Dommasandra Post"
Key Account,365439,Anand Niketan Satellite,,2024,2024-07-10 00:00:00,Ei ASSET,Regular,IN-2022002332,Approved By Logistic Team,351000,351000,351000,585,600,0,0,,0,0,,0,Full Payment,,2024-09-26 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,35160,2024-11-29 00:00:00,2024-11-29 00:00:00,351000,316440,-600,0.6,0.6,,,,,Winter Round,OMR,0,MCQ,,,,CISCE,Ahmedabad,Gujarat,West,Gujarat,National Sales,2024-07-01 00:00:00,2025-04-30 00:00:00,Regular School: Active school with student count and rate per student defined,22028000023461584,51788000002735473,zcrm_51788000271640085,2024-07-10 00:00:00,nakul.swamy_ei,fagun.saraiya_eiindia1,nakul.swamy@ei.study,Nakul swamy,Nakul Swamy,Aarti Iyer,2024-07-22 10:46:16,Ms. Sonal Narang,,Sonal.narang@anandniketan.org,+917874898081,ansatellite@anandniketan.org,,,,,,,80000,"Near Novotel Hotel Nr. Asavari Tower, Off S G Highway, Satellite,",,380015,"Near Novotel Hotel Nr. Asavari Tower, Off S G Highway, Satellite,",Ahmedabad,Gujarat,380015,AHMU00781E,"Near Novotel Hotel Nr. Asavari Tower, Off S G Highway, Satellite,","Near Novotel Hotel Nr. Asavari Tower, Off S G Highway, Satellite,"
